Source,Target,Weight,Type
alciphron,evenings,4,undirected
alciphron,fables_holy,1,undirected
alciphron,loves_angels,6,undirected
alciphron,summerfete,3,undirected
anacreon,corruption,1,undirected
anacreon,epistles,3,undirected
anacreon,sceptic,6,undirected
cash_corn,fudges_england,4,undirected
cash_corn,fudges_paris,5,undirected
cash_corn,intercepted,2,undirected
cash_corn,summerfete,1,undirected
cash_corn,tom_crib,2,undirected
corruption,anacreon,1,undirected
corruption,epistles,6,undirected
corruption,melodies,3,undirected
corruption,sceptic,3,undirected
epistles,anacreon,3,undirected
epistles,corruption,6,undirected
epistles,little,5,undirected
evenings,alciphron,4,undirected
evenings,fables_holy,2,undirected
evenings,lalla,6,undirected
evenings,loves_angels,2,undirected
evenings,summerfete,4,undirected
fables_holy,alciphron,1,undirected
fables_holy,evenings,2,undirected
fables_holy,lalla,5,undirected
fudges_england,cash_corn,4,undirected
fudges_england,fudges_paris,6,undirected
fudges_england,intercepted,4,undirected
fudges_paris,cash_corn,5,undirected
fudges_paris,fudges_england,6,undirected
fudges_paris,intercepted,3,undirected
fudges_paris,little,2,undirected
fudges_paris,national,1,undirected
intercepted,cash_corn,2,undirected
intercepted,fudges_england,4,undirected
intercepted,fudges_paris,3,undirected
intercepted,tom_crib,1,undirected
lalla,evenings,6,undirected
lalla,fables_holy,5,undirected
lalla,loves_angels,2,undirected
little,epistles,5,undirected
little,fudges_paris,2,undirected
little,national,1,undirected
loves_angels,alciphron,6,undirected
loves_angels,evenings,2,undirected
loves_angels,lalla,2,undirected
melodies,corruption,3,undirected
melodies,national,6,undirected
melodies,sacred,2,undirected
melodies,sceptic,1,undirected
national,fudges_paris,1,undirected
national,little,1,undirected
national,melodies,6,undirected
national,sacred,5,undirected
sacred,melodies,2,undirected
sacred,national,5,undirected
sacred,sceptic,1,undirected
sceptic,anacreon,6,undirected
sceptic,corruption,3,undirected
sceptic,melodies,1,undirected
sceptic,sacred,1,undirected
sceptic,tom_crib,5,undirected
summerfete,alciphron,3,undirected
summerfete,cash_corn,1,undirected
summerfete,evenings,4,undirected
tom_crib,cash_corn,2,undirected
tom_crib,intercepted,1,undirected
tom_crib,sceptic,5,undirected
